Federated_Learning | INFO flwr 2024-04-29 14:26:09,694 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:26:09,694 | server.py:59 | {'accuracy': 0.5809838032393522, 'loss': 123.97983431816101}
Federated_Learning | INFO flwr 2024-04-29 14:26:09,695 | strategy.py:293 | There was a delay of 70.107104 seconds for round 28
Federated_Learning | INFO flwr 2024-04-29 14:26:09,695 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:26:09,696 | server.py:111 | [ROUND 29]
Federated_Learning | INFO flwr 2024-04-29 14:26:09,697 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:27:14,053 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:27:14,057 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:27:24,415 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:27:24,415 | server.py:59 | {'accuracy': 0.5855828834233153, 'loss': 123.56494013468425}
Federated_Learning | INFO flwr 2024-04-29 14:27:24,415 | strategy.py:293 | There was a delay of 74.719064 seconds for round 29
Federated_Learning | INFO flwr 2024-04-29 14:27:24,416 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:27:24,416 | server.py:111 | [ROUND 30]
Federated_Learning | INFO flwr 2024-04-29 14:27:24,416 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:28:31,592 | server.py:238 | aggregate_fit: received 4 results and 0 failures
